player,tID,team,role,cluster,is_handling,possessionID
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,1,True,J03WOH_Away_272
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_272
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,2,True,J03WOH_Away_272
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_272
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_272
DFL-OBJ-J0130T,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_272
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,2,False,J03WOH_Away_272
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,4,False,J03WOH_Away_272
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Away_276
DFL-OBJ-002GAB,DFL-CLU-000011,Away,Forward,1,False,J03WOH_Away_276
DFL-OBJ-002GFH,DFL-CLU-000011,Away,Defender,2,True,J03WOH_Away_276
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Away_281
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Away_281
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_281
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Away_282
DFL-OBJ-0028CD,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Away_289
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,1,True,J03WOH_Away_29
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,1,True,J03WOH_Away_295
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_295
DFL-OBJ-00003X,DFL-CLU-00000P,Home,Forward,0,False,J03WOH_Away_297
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,0,False,J03WOH_Away_297
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,0,False,J03WOH_Away_297
DFL-OBJ-00028V,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_297
DFL-OBJ-0028OR,DFL-CLU-000011,Away,Forward,1,False,J03WOH_Away_301
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,2,True,J03WOH_Away_301
DFL-OBJ-002GFH,DFL-CLU-000011,Away,Defender,3,True,J03WOH_Away_301
DFL-OBJ-002GFH,DFL-CLU-000011,Away,Defender,1,True,J03WOH_Away_305
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,1,True,J03WOH_Away_31
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Away_310
DFL-OBJ-002651,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Away_311
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Away_311
DFL-OBJ-0028OR,DFL-CLU-000011,Away,Forward,1,False,J03WOH_Away_311
DFL-OBJ-0027XP,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_311
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,2,False,J03WOH_Away_311
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Away_312
DFL-OBJ-J01L1F,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_318
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_320
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_320
DFL-OBJ-002GDZ,DFL-CLU-000011,Away,Unknown,2,False,J03WOH_Away_320
DFL-OBJ-002GNH,DFL-CLU-000011,Away,Goalkeeper,2,False,J03WOH_Away_320
DFL-OBJ-0028CD,DFL-CLU-000011,Away,Midfielder,1,True,J03WOH_Away_324
DFL-OBJ-00028V,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_327
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_36
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_4
DFL-OBJ-0026UQ,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Away_4
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_45
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_45
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_45
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,2,False,J03WOH_Away_45
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,3,True,J03WOH_Away_45
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,1,True,J03WOH_Away_47
DFL-OBJ-J0130T,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_47
DFL-OBJ-002GAB,DFL-CLU-000011,Away,Forward,2,True,J03WOH_Away_47
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,3,False,J03WOH_Away_47
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_56
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Away_56
DFL-OBJ-00003X,DFL-CLU-00000P,Home,Forward,0,False,J03WOH_Away_57
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,2,True,J03WOH_Away_60
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,2,True,J03WOH_Away_61
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,2,True,J03WOH_Away_62
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,3,False,J03WOH_Away_62
DFL-OBJ-002GAB,DFL-CLU-000011,Away,Forward,4,False,J03WOH_Away_62
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,5,False,J03WOH_Away_62
DFL-OBJ-00003X,DFL-CLU-00000P,Home,Forward,0,False,J03WOH_Away_64
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,0,True,J03WOH_Away_64
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,0,False,J03WOH_Away_64
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,0,False,J03WOH_Away_64
DFL-OBJ-002GNH,DFL-CLU-000011,Away,Goalkeeper,0,False,J03WOH_Away_64
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_65
DFL-OBJ-0026UQ,DFL-CLU-000011,Away,Defender,1,True,J03WOH_Away_65
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,1,True,J03WOH_Away_69
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,1,True,J03WOH_Away_71
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,2,False,J03WOH_Away_75
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_79
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Away_79
DFL-OBJ-002651,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_79
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,2,False,J03WOH_Away_79
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_79
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,2,True,J03WOH_Away_79
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,3,False,J03WOH_Away_79
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,3,True,J03WOH_Away_79
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,4,False,J03WOH_Away_79
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,5,False,J03WOH_Away_79
DFL-OBJ-00006V,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_82
DFL-OBJ-0028FW,DFL-CLU-00000P,Home,Goalkeeper,1,False,J03WOH_Away_82
DFL-OBJ-002GAB,DFL-CLU-000011,Away,Forward,1,False,J03WOH_Away_82
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_82
DFL-OBJ-0027XP,DFL-CLU-000011,Away,Midfielder,2,True,J03WOH_Away_82
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,3,True,J03WOH_Away_82
DFL-OBJ-J0130T,DFL-CLU-00000P,Home,Midfielder,4,False,J03WOH_Away_82
DFL-OBJ-00003X,DFL-CLU-00000P,Home,Forward,0,True,J03WOH_Away_87
DFL-OBJ-00006V,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_94
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Away_94
DFL-OBJ-00028V,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Away_94
DFL-OBJ-0027VS,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_94
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,2,False,J03WOH_Away_94
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,3,True,J03WOH_Away_94
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,4,True,J03WOH_Away_94
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,4,False,J03WOH_Away_94
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,6,True,J03WOH_Away_94
DFL-OBJ-0028FW,DFL-CLU-00000P,Home,Goalkeeper,1,False,J03WOH_Away_97
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Away_97
DFL-OBJ-00006V,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Home_105
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOH_Home_105
DFL-OBJ-002GAB,DFL-CLU-000011,Away,Forward,1,False,J03WOH_Home_105
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Home_105
DFL-OBJ-002651,DFL-CLU-000011,Away,Midfielder,3,False,J03WOH_Home_105
DFL-OBJ-0027B0,DFL-CLU-000011,Away,Midfielder,3,False,J03WOH_Home_105
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,3,False,J03WOH_Home_105
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Midfielder,3,False,J03WOH_Home_105
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,4,True,J03WOH_Home_105
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOH_Home_107
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,2,True,J03WOH_Home_107
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Home_11
DFL-OBJ-J014UG,DFL-CLU-00000P,Home,Defender,2,True,J03WOH_Home_11
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,2,True,J03WOH_Home_11
DFL-OBJ-00003X,DFL-CLU-00000P,Home,Forward,0,False,J03WOH_Home_114
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,0,False,J03WOH_Home_114
DFL-OBJ-002G2Y,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Home_121
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,True,J03WOH_Home_126
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Home_126
DFL-OBJ-0027XP,DFL-CLU-000011,Away,Midfielder,1,False,J03WOH_Home_129
DFL-OBJ-002GEE,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Home_130
DFL-OBJ-00268T,DFL-CLU-000011,Away,Defender,1,False,J03WOH_Home_131
DFL-OBJ-00003X,DFL-CLU-00000P,Home,Forward,0,False,J03WOH_Home_132
DFL-OBJ-0028SW,DFL-CLU-000011,Away,Defender,0,False,J03WOH_Home_132
DFL-OBJ-J0130T,DFL-CLU-00000P,Home,Midfielder,0,False,J03WOH_Home_132
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOH_Home_132
